mcdi_wordendings_raw,gender,age,mcdi_wordendings_inter_ptile_within,mcdi_wordendings_inter_ptile_both
31,M,21,>99,>99
32,M,21,>99,>99
33,M,21,>99,>99
34,M,21,>99,>99
35,M,21,>99,>99
36,M,21,>99,>99
37,M,21,>99,>99
38,M,21,>99,>99
39,M,21,>99,>99
40,M,21,>99,>99
41,M,21,>99,>99
42,M,21,>99,>99
43,M,21,>99,>99
44,M,21,>99,>99
45,M,21,>99,>99
0,M,22,80,70
1,M,22,90,85
2,M,22,92.5,90
3,M,22,95,91.667
4,M,22,95.625,93.333
5,M,22,96.25,95
6,M,22,96.875,95.417
7,M,22,97.5,95.833
8,M,22,98.125,96.25
9,M,22,98.75,96.667
10,M,22,99.375,97.083
11,M,22,>99,97.5
12,M,22,>99,97.917
13,M,22,>99,98.333
14,M,22,>99,98.75
15,M,22,>99,99.167
16,M,22,>99,99.583
17,M,22,>99,>99
18,M,22,>99,>99
19,M,22,>99,>99
20,M,22,>99,>99
21,M,22,>99,>99
22,M,22,>99,>99
23,M,22,>99,>99
24,M,22,>99,>99
25,M,22,>99,>99
26,M,22,>99,>99
27,M,22,>99,>99
28,M,22,>99,>99
29,M,22,>99,>99
30,M,22,>99,>99
31,M,22,>99,>99
32,M,22,>99,>99
33,M,22,>99,>99
34,M,22,>99,>99
35,M,22,>99,>99
36,M,22,>99,>99
37,M,22,>99,>99
38,M,22,>99,>99
39,M,22,>99,>99
40,M,22,>99,>99
41,M,22,>99,>99
42,M,22,>99,>99
43,M,22,>99,>99
44,M,22,>99,>99
45,M,22,>99,>99
0,M,23,75,65
1,M,23,85,80
2,M,23,90,85
3,M,23,92.5,90
4,M,23,95,91.25
5,M,23,95.556,92.5
6,M,23,96.111,93.75
7,M,23,96.667,95
8,M,23,97.222,95.417
9,M,23,97.778,95.833
10,M,23,98.333,96.25
11,M,23,98.889,96.667
12,M,23,99.444,97.083
13,M,23,>99,97.5
14,M,23,>99,97.917
15,M,23,>99,98.333
16,M,23,>99,98.75
17,M,23,>99,99.167
18,M,23,>99,99.583
19,M,23,>99,>99
20,M,23,>99,>99
21,M,23,>99,>99
22,M,23,>99,>99
23,M,23,>99,>99
24,M,23,>99,>99
25,M,23,>99,>99
26,M,23,>99,>99
27,M,23,>99,>99
28,M,23,>99,>99
29,M,23,>99,>99
30,M,23,>99,>99
31,M,23,>99,>99
32,M,23,>99,>99
33,M,23,>99,>99
34,M,23,>99,>99
35,M,23,>99,>99
36,M,23,>99,>99
37,M,23,>99,>99
38,M,23,>99,>99
39,M,23,>99,>99
40,M,23,>99,>99
41,M,23,>99,>99
42,M,23,>99,>99
43,M,23,>99,>99
44,M,23,>99,>99
45,M,23,>99,>99
0,M,24,60,60
1,M,24,80,70
2,M,24,85,80
3,M,24,90,85
4,M,24,91.667,90
5,M,24,93.333,91.25
6,M,24,95,92.5
7,M,24,95.5,93.75
8,M,24,96,95
9,M,24,96.5,95.357
10,M,24,97,95.714
11,M,24,97.5,96.071
12,M,24,98,96.429
13,M,24,98.5,96.786
14,M,24,99,97.143
15,M,24,99.5,97.5
16,M,24,>99,97.857
17,M,24,>99,98.214
18,M,24,>99,98.571
19,M,24,>99,98.929
20,M,24,>99,99.286
21,M,24,>99,99.643
22,M,24,>99,>99
23,M,24,>99,>99
24,M,24,>99,>99
25,M,24,>99,>99
26,M,24,>99,>99
27,M,24,>99,>99
28,M,24,>99,>99
29,M,24,>99,>99
30,M,24,>99,>99
31,M,24,>99,>99
32,M,24,>99,>99
33,M,24,>99,>99
34,M,24,>99,>99
35,M,24,>99,>99
36,M,24,>99,>99
37,M,24,>99,>99
38,M,24,>99,>99
39,M,24,>99,>99
40,M,24,>99,>99
41,M,24,>99,>99
42,M,24,>99,>99
43,M,24,>99,>99
44,M,24,>99,>99
45,M,24,>99,>99
0,M,25,55,50
1,M,25,75,65
2,M,25,80,70
3,M,25,82.5,80
4,M,25,85,82.5
5,M,25,90,85
6,M,25,91.667,90
7,M,25,93.333,91.25
8,M,25,95,92.5
9,M,25,95.5,93.75
10,M,25,96,95
11,M,25,96.5,95.333
12,M,25,97,95.667
13,M,25,97.5,96
14,M,25,98,96.333
15,M,25,98.5,96.667
16,M,25,99,97
17,M,25,99.5,97.333
18,M,25,>99,97.667
19,M,25,>99,98
20,M,25,>99,98.333
21,M,25,>99,98.667
22,M,25,>99,99
23,M,25,>99,99.333
24,M,25,>99,99.667
25,M,25,>99,>99
26,M,25,>99,>99
27,M,25,>99,>99
28,M,25,>99,>99
29,M,25,>99,>99
30,M,25,>99,>99
31,M,25,>99,>99
32,M,25,>99,>99
33,M,25,>99,>99
34,M,25,>99,>99
35,M,25,>99,>99
36,M,25,>99,>99
37,M,25,>99,>99
38,M,25,>99,>99
39,M,25,>99,>99
40,M,25,>99,>99
41,M,25,>99,>99
42,M,25,>99,>99
43,M,25,>99,>99
44,M,25,>99,>99
45,M,25,>99,>99
0,M,26,55,50
1,M,26,60,55
2,M,26,70,65
3,M,26,75,70
4,M,26,80,75
5,M,26,82.5,80
6,M,26,85,82.5
7,M,26,90,85
8,M,26,91.25,87.5
