mcdi_phrases_raw,gender,age,mcdi_phrases_inter_ptile
27,F,11,99
28,F,11,>99
0,M,11,<5
1,M,11,<5
2,M,11,<5
3,M,11,5
4,M,11,10
5,M,11,15
6,M,11,17.5
7,M,11,25
8,M,11,30
9,M,11,35
10,M,11,40
11,M,11,45
12,M,11,50
13,M,11,55
14,M,11,60
15,M,11,65
16,M,11,70
17,M,11,75
18,M,11,77.5
19,M,11,80
20,M,11,85
21,M,11,90
22,M,11,91.25
23,M,11,92.5
24,M,11,93.75
25,M,11,95
26,M,11,99
27,M,11,>99
28,M,11,>99
0,F,12,<5
1,F,12,<5
2,F,12,<5
3,F,12,<5
4,F,12,<5
5,F,12,5
6,F,12,10
7,F,12,12.5
8,F,12,15
9,F,12,17.5
10,F,12,20
11,F,12,25
12,F,12,30
13,F,12,35
14,F,12,40
15,F,12,45
16,F,12,50
17,F,12,55
18,F,12,60
19,F,12,62.5
20,F,12,65
21,F,12,70
22,F,12,75
23,F,12,80
24,F,12,82.5
25,F,12,90
26,F,12,95
27,F,12,99
28,F,12,>99
0,M,12,<5
1,M,12,<5
2,M,12,<5
3,M,12,<5
4,M,12,5
5,M,12,7.5
6,M,12,15
7,M,12,17.5
8,M,12,20
9,M,12,25
10,M,12,30
11,M,12,32.5
12,M,12,40
13,M,12,45
14,M,12,50
15,M,12,55
16,M,12,60
17,M,12,65
18,M,12,67.5
19,M,12,70
20,M,12,75
21,M,12,80
22,M,12,85
23,M,12,90
24,M,12,91.667
25,M,12,93.333
26,M,12,95
27,M,12,99
28,M,12,>99
0,F,13,<5
1,F,13,<5
2,F,13,<5
3,F,13,<5
4,F,13,<5
5,F,13,<5
6,F,13,<5
7,F,13,5
8,F,13,7.5
9,F,13,10
10,F,13,15
11,F,13,17.5
12,F,13,20
13,F,13,25
14,F,13,30
15,F,13,32.5
16,F,13,35
17,F,13,45
18,F,13,47.5
19,F,13,50
20,F,13,55
21,F,13,60
22,F,13,65
23,F,13,70
24,F,13,75
25,F,13,80
26,F,13,85
27,F,13,95
28,F,13,99
0,M,13,<5
1,M,13,<5
2,M,13,<5
3,M,13,<5
4,M,13,<5
5,M,13,<5
6,M,13,5
7,M,13,7.5
8,M,13,10
9,M,13,15
10,M,13,20
11,M,13,22.5
12,M,13,25
13,M,13,30
14,M,13,35
15,M,13,45
16,M,13,50
17,M,13,52.5
18,M,13,55
19,M,13,65
20,M,13,67.5
21,M,13,70
22,M,13,75
23,M,13,80
24,M,13,85
25,M,13,90
26,M,13,92.5
27,M,13,99
28,M,13,>99
0,F,14,<5
1,F,14,<5
2,F,14,<5
3,F,14,<5
4,F,14,<5
5,F,14,<5
6,F,14,<5
7,F,14,<5
8,F,14,<5
9,F,14,5
10,F,14,7.5
11,F,14,10
12,F,14,12.5
13,F,14,15
14,F,14,17.5
15,F,14,20
16,F,14,25
17,F,14,30
18,F,14,35
19,F,14,45
20,F,14,47.5
21,F,14,50
22,F,14,55
23,F,14,65
24,F,14,67.5
25,F,14,75
26,F,14,80
27,F,14,90
28,F,14,99
0,M,14,<5
1,M,14,<5
2,M,14,<5
3,M,14,<5
4,M,14,<5
5,M,14,<5
6,M,14,<5
7,M,14,<5
8,M,14,5
9,M,14,7.5
10,M,14,10
11,M,14,15
12,M,14,20
13,M,14,22.5
14,M,14,25
15,M,14,30
16,M,14,35
17,M,14,40
18,M,14,45
19,M,14,50
20,M,14,55
21,M,14,65
22,M,14,67.5
23,M,14,70
24,M,14,80
25,M,14,85
26,M,14,90
27,M,14,95
28,M,14,99
0,F,15,<5
1,F,15,<5
2,F,15,<5
3,F,15,<5
4,F,15,<5
5,F,15,<5
6,F,15,<5
7,F,15,<5
8,F,15,<5
9,F,15,<5
10,F,15,<5
11,F,15,<5
12,F,15,5
13,F,15,7.5
14,F,15,10
15,F,15,15
16,F,15,16.667
17,F,15,18.333
18,F,15,20
19,F,15,30
20,F,15,35
21,F,15,45
22,F,15,47.5
23,F,15,50
24,F,15,55
25,F,15,60
26,F,15,75
27,F,15,80
28,F,15,99
0,M,15,<5
1,M,15,<5
2,M,15,<5
3,M,15,<5
4,M,15,<5
5,M,15,<5
6,M,15,<5
7,M,15,<5
8,M,15,<5
9,M,15,<5
10,M,15,<5
11,M,15,5
12,M,15,7.5
13,M,15,10
14,M,15,15
15,M,15,20
16,M,15,22.5
17,M,15,30
18,M,15,35
19,M,15,40
20,M,15,45
21,M,15,50
22,M,15,55
23,M,15,65
24,M,15,67.5
25,M,15,75
26,M,15,85
27,M,15,90
28,M,15,99
0,F,16,<5
1,F,16,<5
2,F,16,<5
3,F,16,<5
4,F,16,<5
5,F,16,<5
6,F,16,<5
7,F,16,<5
8,F,16,<5
9,F,16,<5
10,F,16,<5
11,F,16,<5
12,F,16,<5
13,F,16,<5
14,F,16,<5
15,F,16,5
16,F,16,6.667
17,F,16,8.333
18,F,16,15
19,F,16,17.5
20,F,16,20
21,F,16,30
22,F,16,35
23,F,16,45
24,F,16,47.5
25,F,16,55
26,F,16,60
27,F,16,75
28,F,16,99
0,M,16,<5
1,M,16,<5
2,M,16,<5
3,M,16,<5
4,M,16,<5
5,M,16,<5
6,M,16,<5
7,M,16,<5
8,M,16,<5
9,M,16,<5
10,M,16,<5
11,M,16,<5
12,M,16,<5
13,M,16,<5
14,M,16,5
15,M,16,6.667
16,M,16,8.333
17,M,16,25
18,M,16,26.667
19,M,16,28.333
20,M,16,30
21,M,16,32.5
22,M,16,50
23,M,16,52.5
24,M,16,60
25,M,16,65
26,M,16,75
27,M,16,90
28,M,16,99
0,F,17,<5
1,F,17,<5
2,F,17,<5
3,F,17,<5
4,F,17,<5
5,F,17,<5
6,F,17,<5
7,F,17,<5
8,F,17,<5
9,F,17,<5
10,F,17,<5
11,F,17,<5
12,F,17,<5
13,F,17,<5
14,F,17,<5
15,F,17,5
16,F,17,6.667
17,F,17,8.333
18,F,17,15
19,F,17,17.5
20,F,17,20
21,F,17,30
22,F,17,35
23,F,17,45
24,F,17,47.5
25,F,17,55
26,F,17,60
27,F,17,75
28,F,17,99
0,M,17,<5
1,M,17,<5
2,M,17,<5
3,M,17,<5
4,M,17,<5
5,M,17,<5
6,M,17,<5
7,M,17,<5
8,M,17,<5
9,M,17,<5
10,M,17,<5
11,M,17,<5
12,M,17,<5
13,M,17,<5
14,M,17,5
15,M,17,6.667
16,M,17,8.333
17,M,17,25
18,M,17,26.667
19,M,17,28.333
20,M,17,30
21,M,17,32.5
22,M,17,50
23,M,17,52.5
24,M,17,60
25,M,17,65
26,M,17,75
27,M,17,90
28,M,17,99
0,F,18,<5
1,F,18,<5
2,F,18,<5
3,F,18,<5
4,F,18,<5
5,F,18,<5
6,F,18,<5
7,F,18,<5
8,F,18,<5
9,F,18,<5
10,F,18,<5
11,F,18,<5
12,F,18,<5
13,F,18,<5
14,F,18,<5
15,F,18,5
16,F,18,6.667
17,F,18,8.333
18,F,18,15
19,F,18,17.5
20,F,18,20
21,F,18,30
22,F,18,35
23,F,18,45
24,F,18,47.5
25,F,18,55
26,F,18,60
27,F,18,75
28,F,18,99
0,M,18,<5
1,M,18,<5
2,M,18,<5
3,M,18,<5
4,M,18,<5
5,M,18,<5
6,M,18,<5
7,M,18,<5
8,M,18,<5
9,M,18,<5
10,M,18,<5
11,M,18,<5
12,M,18,<5
13,M,18,<5
14,M,18,5
15,M,18,6.667
16,M,18,8.333
17,M,18,25
18,M,18,26.667
19,M,18,28.333
20,M,18,30
21,M,18,32.5
22,M,18,50
23,M,18,52.5
24,M,18,60
25,M,18,65
26,M,18,75
27,M,18,90
28,M,18,99
