mcdi_egestures_raw,gender,age,mcdi_egestures_inter_ptile
9,M,12,35
10,M,12,50
11,M,12,60
12,M,12,75
13,M,12,85
14,M,12,90
15,M,12,95
16,M,12,99
17,M,12,>99
18,M,12,>99
0,M,13,<5
1,M,13,<5
2,M,13,<5
3,M,13,<5
4,M,13,5
5,M,13,6.25
6,M,13,7.5
7,M,13,8.75
8,M,13,10
9,M,13,15
10,M,13,35
11,M,13,45
12,M,13,55
13,M,13,75
14,M,13,85
15,M,13,90
16,M,13,99
17,M,13,>99
18,M,13,>99
0,M,14,<5
1,M,14,<5
2,M,14,<5
3,M,14,<5
4,M,14,5
5,M,14,6.25
6,M,14,7.5
7,M,14,8.75
8,M,14,10
9,M,14,15
10,M,14,30
11,M,14,40
12,M,14,50
13,M,14,70
14,M,14,80
15,M,14,85
16,M,14,95
17,M,14,99
18,M,14,>99
0,M,15,<5
1,M,15,<5
2,M,15,<5
3,M,15,<5
4,M,15,<5
5,M,15,<5
6,M,15,5
7,M,15,6
8,M,15,7
9,M,15,8
10,M,15,9
11,M,15,10
12,M,15,20
13,M,15,45
14,M,15,60
15,M,15,80
16,M,15,85
17,M,15,99
18,M,15,>99
0,M,16,<5
1,M,16,<5
2,M,16,<5
3,M,16,<5
4,M,16,<5
5,M,16,<5
6,M,16,<5
7,M,16,5
8,M,16,6
9,M,16,7
10,M,16,8
11,M,16,9
12,M,16,10
13,M,16,20
14,M,16,45
15,M,16,60
16,M,16,85
17,M,16,99
18,M,16,>99
0,M,17,<5
1,M,17,<5
2,M,17,<5
3,M,17,<5
4,M,17,<5
5,M,17,<5
6,M,17,<5
7,M,17,5
8,M,17,6
9,M,17,7
10,M,17,8
11,M,17,9
12,M,17,10
13,M,17,20
14,M,17,45
15,M,17,60
16,M,17,85
17,M,17,99
18,M,17,>99
0,M,18,<5
1,M,18,<5
2,M,18,<5
3,M,18,<5
4,M,18,<5
5,M,18,<5
6,M,18,<5
7,M,18,5
8,M,18,6
9,M,18,7
10,M,18,8
11,M,18,9
12,M,18,10
13,M,18,20
14,M,18,45
15,M,18,60
16,M,18,85
17,M,18,99
18,M,18,>99
