B,A
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,12
32,15
33,17
34,20
35,22
36,25
37,27
38,30
39,32
40,35
41,37
42,40
43,42
44,45
45,47
46,50
47,52
48,55
49,57
50,60
51,62
52,65
53,67
54,70
55,72
56,75
57,77
58,80
59,82
60,85
