mcdi_wordforms_raw,gender,age,mcdi_wordforms_inter_ptile_within,mcdi_wordforms_inter_ptile_both
23,M,24,>99,>99
24,M,24,>99,>99
25,M,24,>99,>99
0,M,25,15,15
1,M,25,30,25
2,M,25,40,30
3,M,25,50,45
4,M,25,55,50
5,M,25,60,55
6,M,25,65,99
7,M,25,70,65
8,M,25,75,67.5
9,M,25,77.5,70
10,M,25,80,75
11,M,25,82.5,80
12,M,25,85,82.5
13,M,25,87.5,85
14,M,25,90,86.667
15,M,25,91,88.333
16,M,25,92,90
17,M,25,93,91.25
18,M,25,94,92.5
19,M,25,95,93.75
20,M,25,96.667,95
21,M,25,98.333,96.25
22,M,25,99,97.5
23,M,25,>99,98.75
24,M,25,>99,>99
25,M,25,>99,>99
0,M,26,10,5
1,M,26,20,20
2,M,26,35,25
3,M,26,40,30
4,M,26,45,40
5,M,26,55,45
6,M,26,57.5,50
7,M,26,60,55
8,M,26,65,60
9,M,26,70,62.5
10,M,26,75,65
11,M,26,77.5,70
12,M,26,80,75
13,M,26,82.5,80
14,M,26,85,82.5
15,M,26,87.5,85
16,M,26,90,86.667
17,M,26,91.25,88.333
18,M,26,92.5,90
19,M,26,93.75,91.667
20,M,26,95,93.333
21,M,26,96.667,95
22,M,26,98.333,96.667
23,M,26,99,98.333
24,M,26,>99,99
25,M,26,>99,>99
0,M,27,10,5
1,M,27,15,15
2,M,27,20,20
3,M,27,30,22.5
4,M,27,35,30
5,M,27,40,32.5
6,M,27,45,35
7,M,27,50,40
8,M,27,55,45
9,M,27,60,55
10,M,27,65,60
11,M,27,70,62.5
12,M,27,75,65
13,M,27,77.5,70
14,M,27,80,75
15,M,27,82.5,80
16,M,27,85,82.5
17,M,27,87.5,85
18,M,27,90,86.667
19,M,27,91.25,88.333
20,M,27,92.5,90
21,M,27,93.75,92.5
22,M,27,95,95
23,M,27,97.5,96.667
24,M,27,99,98.333
25,M,27,>99,99
0,M,28,10,5
1,M,28,12.5,7.5
