mcdi_tgestures_raw,gender,age,mcdi_tgestures_inter_ptile
40,F,11,95
41,F,11,95.833
42,F,11,96.667
43,F,11,97.5
44,F,11,98.333
45,F,11,99.167
46,F,11,>99
47,F,11,>99
48,F,11,>99
49,F,11,>99
50,F,11,>99
51,F,11,>99
52,F,11,>99
53,F,11,>99
54,F,11,>99
55,F,11,>99
56,F,11,>99
57,F,11,>99
58,F,11,>99
59,F,11,>99
60,F,11,>99
61,F,11,>99
62,F,11,>99
63,F,11,>99
0,F,12,<5
1,F,12,<5
2,F,12,<5
3,F,12,<5
4,F,12,<5
5,F,12,<5
6,F,12,<5
7,F,12,<5
8,F,12,<5
9,F,12,<5
10,F,12,5
11,F,12,6
12,F,12,7
13,F,12,8
14,F,12,9
15,F,12,10
16,F,12,12.5
17,F,12,15
18,F,12,17.5
19,F,12,20
20,F,12,22.5
21,F,12,25
22,F,12,30
23,F,12,32.5
24,F,12,35
25,F,12,40
26,F,12,45
27,F,12,50
28,F,12,52.5
29,F,12,55
30,F,12,60
31,F,12,65
32,F,12,67.5
33,F,12,70
34,F,12,75
35,F,12,77.5
36,F,12,80
37,F,12,81.667
38,F,12,83.333
39,F,12,85
40,F,12,87.5
41,F,12,90
42,F,12,91.25
43,F,12,92.5
44,F,12,93.75
45,F,12,95
46,F,12,95.833
47,F,12,96.667
48,F,12,97.5
49,F,12,98.333
50,F,12,99.167
51,F,12,>99
52,F,12,>99
53,F,12,>99
54,F,12,>99
55,F,12,>99
56,F,12,>99
57,F,12,>99
58,F,12,>99
59,F,12,>99
60,F,12,>99
61,F,12,>99
62,F,12,>99
63,F,12,>99
0,F,13,<5
1,F,13,<5
2,F,13,<5
3,F,13,<5
4,F,13,<5
5,F,13,<5
6,F,13,<5
7,F,13,<5
8,F,13,<5
9,F,13,<5
10,F,13,<5
11,F,13,<5
12,F,13,<5
13,F,13,<5
14,F,13,<5
15,F,13,5
16,F,13,6
17,F,13,7
18,F,13,8
19,F,13,9
20,F,13,10
21,F,13,15
22,F,13,16.667
23,F,13,18.333
24,F,13,20
25,F,13,22.5
26,F,13,25
27,F,13,30
28,F,13,32.5
29,F,13,35
30,F,13,40
31,F,13,45
32,F,13,47.5
33,F,13,50
34,F,13,55
35,F,13,60
36,F,13,65
37,F,13,67.5
38,F,13,70
39,F,13,75
40,F,13,77.5
41,F,13,80
42,F,13,82.5
43,F,13,85
44,F,13,86.667
45,F,13,88.333
46,F,13,90
47,F,13,91.667
48,F,13,93.333
49,F,13,95
50,F,13,96
51,F,13,97
52,F,13,98
53,F,13,99
54,F,13,>99
55,F,13,>99
56,F,13,>99
57,F,13,>99
58,F,13,>99
59,F,13,>99
60,F,13,>99
61,F,13,>99
62,F,13,>99
63,F,13,>99
0,F,14,<5
1,F,14,<5
2,F,14,<5
3,F,14,<5
4,F,14,<5
5,F,14,<5
6,F,14,<5
7,F,14,<5
8,F,14,<5
9,F,14,<5
10,F,14,<5
11,F,14,<5
12,F,14,<5
13,F,14,<5
14,F,14,<5
15,F,14,<5
16,F,14,<5
17,F,14,<5
18,F,14,<5
19,F,14,<5
20,F,14,<5
21,F,14,5
22,F,14,6.25
