mcdi_lgestures_raw,gender,age,mcdi_lgestures_inter_ptile
43,M,13,>99
44,M,13,>99
45,M,13,>99
1,M,14,<5
2,M,14,<5
3,M,14,<5
4,M,14,<5
5,M,14,5
6,M,14,5.833
7,M,14,6.667
8,M,14,7.5
9,M,14,8.333
10,M,14,9.167
11,M,14,10
12,M,14,12.5
13,M,14,15
14,M,14,17.5
15,M,14,20
16,M,14,25
17,M,14,30
18,M,14,35
19,M,14,45
20,M,14,50
21,M,14,52.5
22,M,14,55
23,M,14,60
24,M,14,65
25,M,14,70
26,M,14,75
27,M,14,80
28,M,14,82.5
29,M,14,85
30,M,14,86.667
31,M,14,88.333
32,M,14,90
33,M,14,91.667
34,M,14,93.333
35,M,14,95
36,M,14,96.667
37,M,14,98.333
38,M,14,99
39,M,14,>99
40,M,14,>99
41,M,14,>99
42,M,14,>99
43,M,14,>99
44,M,14,>99
45,M,14,>99
1,M,15,<5
2,M,15,<5
3,M,15,<5
4,M,15,<5
5,M,15,<5
6,M,15,<5
7,M,15,5
8,M,15,5.714
9,M,15,6.429
10,M,15,7.143
11,M,15,7.857
12,M,15,8.571
13,M,15,9.286
14,M,15,10
15,M,15,11.667
16,M,15,13.333
17,M,15,15
18,M,15,17.5
19,M,15,20
20,M,15,25
21,M,15,27.5
22,M,15,30
23,M,15,45
24,M,15,50
25,M,15,52.5
26,M,15,55
27,M,15,60
28,M,15,65
29,M,15,70
30,M,15,75
31,M,15,80
32,M,15,82.5
33,M,15,85
34,M,15,86.667
35,M,15,88.333
36,M,15,90
37,M,15,95
38,M,15,96.25
39,M,15,97.5
40,M,15,98.75
41,M,15,99
42,M,15,>99
43,M,15,>99
44,M,15,>99
45,M,15,>99
1,M,16,<5
2,M,16,<5
3,M,16,<5
4,M,16,<5
5,M,16,<5
6,M,16,<5
7,M,16,<5
8,M,16,<5
9,M,16,<5
10,M,16,5
11,M,16,5.625
12,M,16,6.25
13,M,16,6.875
14,M,16,7.5
15,M,16,8.125
16,M,16,8.75
17,M,16,9.375
18,M,16,10
19,M,16,11.25
20,M,16,12.5
21,M,16,13.75
22,M,16,15
23,M,16,17.5
24,M,16,20
25,M,16,25
26,M,16,30
27,M,16,35
28,M,16,45
29,M,16,50
30,M,16,52.5
31,M,16,60
32,M,16,65
33,M,16,75
34,M,16,80
35,M,16,82.5
